,,DEPARTMENT OF NATURAL RESOURCES,,,,,,,,,
,,Timber Harvest Summary —   All Ownerships,,,,,,,,,
,,2000,,,,,,,,,
,,,,,,,,,,,
,,"( Thousand board feet, Scribner rule )",,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
REGIONS,,,,,OWNER,CLASSES,,,,,TOTAL
AND,Native,Forest,Private,Private,Total,,Other,National,Other,Total,ALL
COUNTIES,American,Industry,Large,Small,Private,State,Non-federal,Forest,Federal,Public,OWNERSHIPS
,,,,,,,,,,,
EASTERN  WASHINGTON,,,,,,,,,,,
ASOTIN,0,0,0,65,65,0,0,0,0,0,65
BENTON,0,0,0,0,0,0,0,0,0,0,0
CHELAN,0,"1,800",636,"6,698","9,134",897,0,"8,990",0,"9,887","19,021"
COLUMBIA,0,"2,795",600,"3,669","7,064","2,588",0,0,0,"2,588","9,652"
DOUGLAS,0,0,0,689,689,0,0,0,0,0,689
FERRY,"53,177","5,927","1,628","9,511","70,243","1,293",647,"10,449",0,"12,389","82,632"
GARFIELD,0,0,0,0,0,0,0,"1,866",0,"1,866","1,866"
KITTITAS,0,"49,842","13,068","39,877","102,787","4,413",0,98,0,"4,511","107,298"
KLICKITAT,"2,748","54,039","11,183","16,488","84,458","19,962",0,0,0,"19,962","104,420"
LINCOLN,0,0,0,"2,988","2,988",143,0,0,0,143,"3,131"
OKANOGAN,"23,405","1,648","1,219","7,937","34,209","29,550",0,"6,563",0,"36,113","70,322"
PEND ORIELLE,0,"34,183","31,890","18,392","84,465","1,274",0,"18,062",0,"19,336","103,801"
SPOKANE,0,"6,460","9,589","16,061","32,110",618,531,0,923,"2,072","34,182"
STEVENS,"16,169","40,196","21,063","73,699","151,127","21,473",0,"6,965",0,"28,438","179,565"
WALLA WALLA,0,0,0,"2,307","2,307",263,0,0,0,263,"2,570"
WHITMAN,0,0,0,931,931,0,0,0,0,0,931
YAKIMA,"199,291","17,149","1,082","3,210","220,732","5,166",0,"6,750",0,"11,916","232,648"
,,,,,,,,,,,
,,,,,,,,,,,
EASTSIDE TOTALS,"294,790","214,039","91,958","202,522","803,309","87,640","1,178","59,743",923,"149,484","952,793"
,,,,,,,,,,,
,,,,,,,,,,,
WESTERN  WASHINGTON,,,,,,,,,,,
CLALLAM,"9,716","113,192","63,283","18,894","205,085","34,832",0,"1,548",0,"36,380","241,465"
CLARK,0,"21,653","3,091","37,120","61,864","19,897",0,0,0,"19,897","81,761"
COWLITZ,0,"175,659","24,236","20,928","220,823","18,275",0,0,0,"18,275","239,098"
GRAYS HARBOR,"20,013","313,178","76,673","66,593","476,457","45,272","8,818","1,184",0,"55,274","531,731"
ISLAND,0,0,570,"9,036","9,606",0,0,0,0,0,"9,606"
JEFFERSON,0,"24,103","32,603","6,056","62,762","15,889",0,681,0,"16,570","79,332"
KING,0,"93,025","19,914","19,938","132,877","5,728",338,"1,561",0,"7,627","140,504"
KITSAP,"1,390","2,543","7,628","15,268","26,829","2,792","5,574",0,344,"8,710","35,539"
LEWIS,0,"269,419","73,000","57,746","400,165","42,151",0,732,0,"42,883","443,048"
MASON,0,"86,070","21,376","35,996","143,442","27,233",0,12,0,"27,245","170,687"
PACIFIC,0,"197,475","62,063","27,686","287,224","53,988",0,0,0,"53,988","341,212"
PIERCE,0,"137,701","34,436","57,373","229,510","10,725",591,0,"6,461","17,777","247,287"
SAN JUAN,0,0,0,"1,751","1,751",0,0,0,0,0,"1,751"
SKAGIT,"1,225","45,887","47,903","26,170","121,185","43,242",0,0,0,"43,242","164,427"
SKAMANIA,0,"3,731","3,199","3,730","10,660","5,266",0,"10,733",0,"15,999","26,659"
SNOHOMISH,25,"31,080","38,488","22,644","92,237","54,954",0,"5,154",0,"60,108","152,345"
THURSTON,70,"39,655","9,914","16,522","66,161","49,350",0,0,"4,761","54,111","120,272"
WAHKIAKUM,0,"32,256","47,520","6,671","86,447","20,437",0,0,0,"20,437","106,884"
WHATCOM,"2,955","23,607","14,416","27,606","68,584","21,583",0,0,0,"21,583","90,167"
,,,,,,,,,,,
WESTSIDE TOTALS,"35,394","1,610,234","580,313","477,728","2,703,669","471,614","15,321","21,605","11,566","520,106","3,223,775"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
STATEWIDE TOTALS,"330,184","1,824,273","672,271","680,250","3,506,978","559,254","16,499","81,348","12,489","669,590","4,176,568"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
