,,DEPARTMENT OF NATURAL RESOURCES,,,,,,,,,,
,,Timber Harvest Summary —   All Ownerships,,,,,,,,,,
,,1965,,,,,,,,,,
,,,,,,,,,,,,
,,"( Thousand board feet, Scribner rule )",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
REGIONS,,,,,OWNER,CLASSES,,,,,TOTAL,
AND,Native,Forest,Private,Private,Total,,Other,National,Other,Total,ALL,
COUNTIES,American,Industry,Large,Small,Private,State,Non-federal,Forest,Federal,Public,OWNERSHIPS,
,,,,,,,,,,,,
EASTERN  WASHINGTON,,,,,,,,,,,,
ASOTIN,0,0,356,0,356,0,0,"5,200",0,"5,200","5,556",
BENTON,0,0,0,0,0,0,0,0,0,0,0,
CHELAN,0,"11,174","4,779","2,615","18,568",0,9,"77,500",0,"77,509","96,077",
COLUMBIA,0,"3,600","3,615",660,"7,875",0,0,"1,800",0,"1,800","9,675",
DOUGLAS,0,0,0,0,0,0,0,0,0,0,0,
FERRY,"96,632",449,"3,329","7,422","107,832","1,713",0,"53,729","2,204","57,646","165,478",
GARFIELD,0,0,0,138,138,0,0,"11,000",0,"11,000","11,138",
KITTITAS,0,"24,154","24,366",687,"49,207","13,819",696,"81,000","1,204","96,719","145,926",
KLICKITAT,"21,760","39,832","3,400","3,241","68,233","8,696",0,"2,200",130,"11,026","79,259",
LINCOLN,0,0,206,0,206,0,0,0,0,0,206,
OKANOGAN,"28,986",930,80,"1,009","31,005","19,004",60,"99,400",116,"118,580","149,585",
PEND ORIELLE,"1,260","7,528","4,534","7,764","21,086","2,087",0,"17,676",103,"19,866","40,952",
SPOKANE,0,"1,020","1,365","9,462","11,847",845,0,0,0,845,"12,692",
STEVENS,"10,662","14,392","4,251","24,598","53,903","11,740",0,"21,676","2,131","35,547","89,450",
WALLA WALLA,0,"1,460",928,"1,987","4,375","2,507",0,"18,009",0,"20,516","24,891",
WHITMAN,0,0,0,0,0,0,0,0,0,0,0,
YAKIMA,"114,433","28,904","8,229","4,365","155,931","8,877",0,"43,900",0,"52,777","208,708",
,,,,,,,,,,,,
,,,,,,,,,,,,
EASTSIDE TOTALS,"273,733","133,443","59,438","63,948","530,562","69,288",765,"433,090","5,888","509,031","1,039,593",
,,,,,,,,,,,,
,,,,,,,,,,,,
WESTERN  WASHINGTON,,,,,,,,,,,,
CLALLAM,"8,410","130,414","6,798","16,919","162,541","85,422","2,900","69,800","4,317","162,439","324,980",
CLARK,0,"8,776","4,264","13,959","26,999","10,270",52,0,0,"10,322","37,321",
COWLITZ,0,"470,858","8,245","17,289","496,392","176,300",25,"45,800",0,"222,125","718,517",
GRAYS HARBOR,"170,053","258,233","18,753","30,181","477,220","5,718","8,285","140,500",150,"154,653","631,873",
ISLAND,0,35,"2,497","7,341","9,873",0,0,0,90,90,"9,963",
JEFFERSON,"5,940","72,992","30,089","19,149","128,170","146,742",0,"49,300",916,"196,958","325,128",
KING,0,"170,793","57,725","18,134","246,652","12,650","23,172","51,600","3,890","91,312","337,964",
KITSAP,60,"2,644",830,"12,972","16,506","2,082",894,0,350,"3,326","19,832",
LEWIS,0,"515,047","78,927","27,260","621,234","36,547",601,"167,400",18,"204,566","825,800",
MASON,0,"37,307","9,929","16,277","63,513","7,115","1,084","110,200",950,"119,349","182,862",
PACIFIC,0,"464,135","4,148","12,708","480,991","15,337",90,0,"4,651","20,078","501,069",
PIERCE,0,"172,213","21,850","8,204","202,267","23,436",681,"42,700","3,505","70,322","272,589",
SAN JUAN,0,0,"1,626","2,879","4,505",0,175,0,0,175,"4,680",
SKAGIT,"1,513","82,329","7,497","10,922","102,261","14,414",67,"89,500",64,"104,045","206,306",
SKAMANIA,31,"21,807","40,796","3,253","65,887","4,738",0,"310,500",0,"315,238","381,125",
SNOHOMISH,0,"75,761","13,015","108,622","197,398","28,221","1,320","117,000",60,"146,601","343,999",
THURSTON,0,"26,940","1,080","40,696","68,716","5,412",0,0,265,"5,677","74,393",
WAHKIAKUM,0,"84,040",0,"5,901","89,941","15,689",110,0,45,"15,844","105,785",
WHATCOM,0,"43,451","2,808","12,776","59,035","25,820",441,"92,700",0,"118,961","177,996",
,,,,,,,,,,,,
WESTSIDE TOTALS,"186,007","2,637,775","310,877","385,442","3,520,101","615,913","39,897","1,287,000","19,271","1,962,081","5,482,182",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
STATEWIDE TOTALS,"459,740","2,771,218","370,315","449,390","4,050,663","685,201","40,662","1,720,090","25,159","2,471,112","6,521,775",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
